,title,i7,ezpool,ezpool_counts,too_short,match_1,match_multiple,overall_align,CDS,CDS_inverse,ncRNA_inverse,ncRNA,rRNA_inverse,rRNA,tRNA,tRNA_inverse,mean,5th,10th,50th,90th,95th
102,rz_5m_trna-mqsr1,5,7,3760504,503518,17.19,29.44,47.69,390353.0,438359.0,9194.0,57887.0,5592.0,218484.0,397010.0,1553.0,60.115193681760985,11.0,12.0,39.0,168.0,263.0
103,rz_5m_trna-rnla1,5,8,1672521,217626,14.09,40.27,55.62,161515.0,190617.0,2414.0,17266.0,2566.0,210882.0,215965.0,517.0,61.13110080271474,11.0,12.0,46.0,108.0,263.0
104,rz_5m_trna-yoeb1,5,9,2618324,380603,20.8,42.12,64.35,350829.0,303184.0,1446.0,41963.0,13173.0,170650.0,579046.0,4111.0,72.54178356471452,10.0,12.0,55.0,190.0,285.0
105,rz_5m_trna-yafo1,5,10,3222818,499443,15.25,42.86,59.21,399158.0,490753.0,1450.0,36525.0,26947.0,171698.0,475520.0,6541.0,62.78774414654859,10.0,10.0,28.0,184.0,283.0
106,rz_5m_trna-yafq1,5,11,2206693,155896,16.88,33.38,51.16,231654.0,311123.0,1700.0,25079.0,4958.0,120620.0,357279.0,1351.0,59.17652349571535,11.0,12.0,31.0,158.0,264.0
107,rz_5m_trna-higb1,5,12,3158632,315699,19.78,33.87,54.88,437008.0,323019.0,4371.0,41509.0,5108.0,226835.0,564793.0,1197.0,69.53489944017974,12.0,12.0,53.0,181.0,283.0
108,rz_5m_trna-ev2,5,13,5450410,379584,12.87,29.31,42.73,506239.0,840346.0,2237.0,41762.0,16106.0,125738.0,618602.0,3113.0,52.864752346723,10.0,12.0,14.0,100.0,250.0
109,rz_5m_trna-mazf2,5,14,3538227,432561,15.07,30.62,46.67,333605.0,416314.0,1233.0,33503.0,21271.0,196931.0,425121.0,6514.0,62.705599093570015,11.0,12.0,42.0,179.0,274.0
110,rz_5m_trna-rele2,5,15,3300211,888624,24.97,29.57,55.83,505430.0,296325.0,4684.0,40900.0,16423.0,155126.0,278767.0,3865.0,66.62801686288076,11.0,12.0,51.0,180.0,263.0
111,rz_5m_trna-chpb2,5,16,5445619,412788,15.71,40.47,57.18,418649.0,385689.0,7155.0,119870.0,13925.0,251140.0,1974696.0,2071.0,78.14201267151682,12.0,13.0,63.0,179.0,287.0
112,rz_5m_trna-hica2,5,17,5396358,416022,12.96,29.56,43.29,478096.0,557121.0,3441.0,45338.0,16578.0,218533.0,901809.0,2415.0,63.13476532340665,11.0,12.0,45.0,163.0,269.0
113,rz_5m_trna-yhav2,5,18,3557225,218127,18.06,40.61,59.67,536661.0,557291.0,2773.0,56026.0,9066.0,155932.0,721236.0,1483.0,63.23212538478382,10.0,11.0,43.0,175.0,274.0
114,rz_5m_trna-mqsr2,5,19,3737345,224536,11.14,52.13,63.95,660678.0,1123366.0,4355.0,31302.0,5302.0,131428.0,206711.0,1054.0,35.84271315499629,10.0,10.0,13.0,71.0,199.0
115,rz_5m_trna-rnla2,5,20,2135591,346493,14.24,45.62,60.74,193506.0,244457.0,882.0,20642.0,6765.0,114092.0,576828.0,1018.0,68.90385488163608,10.0,11.0,54.0,178.0,281.0
116,rz_5m_trna-yoeb2,5,21,3614252,728327,22.19,34.92,58.51,489205.0,343105.0,7490.0,42281.0,6599.0,207735.0,526703.0,2978.0,63.04538006303292,12.0,12.0,48.0,146.0,251.0
117,rz_5m_trna-yafo2,5,22,5915583,444755,10.71,15.9,27.28,332396.0,307486.0,6469.0,150137.0,4524.0,213177.0,436199.0,829.0,67.24551562960485,11.0,12.0,51.0,172.0,265.0
118,rz_5m_trna-yafq2,5,23,2593912,440722,15.28,47.16,63.53,181597.0,205572.0,3187.0,28793.0,10763.0,178697.0,874808.0,2434.0,75.38121410931596,12.0,13.0,60.0,178.0,288.0
119,rz_5m_trna-higb2,5,24,5136761,284677,7.81,38.7,46.97,655439.0,1187870.0,2107.0,19545.0,6430.0,162643.0,164898.0,1068.0,34.35554924281873,10.0,10.0,13.0,69.0,192.0
